AFFYMETRIX_3PRIME_IVT_ID	Gene Name	Species	BBID	GOTERM_CC_FAT	BIOCARTA	GOTERM_MF_FAT	SMART	COG_ONTOLOGY	SP_PIR_KEYWORDS	KEGG_PATHWAY	INTERPRO	UP_SEQ_FEATURE	OMIM_DISEASE	GOTERM_BP_FAT	PIR_SUPERFAMILY
31621_s_at	elastin	Homo sapiens		GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0031012~extracellular matrix,GO:0044421~extracellular region part,		GO:0005198~structural molecule activity,GO:0005201~extracellular matrix structural constituent,GO:0030023~extracellular matrix constituent conferring elasticity,GO:0050840~extracellular matrix binding,			alternative splicing,complete proteome,disulfide bond,extracellular matrix,hydroxylation,polymorphism,repeat,Secreted,signal,williams-beuren syndrome,		IPR003979:Tropoelastin,IPR004036:Endonuclease III, conserved site-2,	chain:Elastin,compositionally biased region:Ala-rich,compositionally biased region:Poly-Ala,disulfide bond,modified residue,sequence conflict,sequence variant,signal peptide,splice variant,	Cutis laxa, AD,Supravalvar aortic stenosis,Williams-Beuren syndrome,	GO:0003013~circulatory system process,GO:0007010~cytoskeleton organization,GO:0007015~actin filament organization,GO:0007517~muscle organ development,GO:0007519~skeletal muscle tissue development,GO:0007585~respiratory gaseous exchange,GO:0008015~blood circulation,GO:0008064~regulation of actin polymerization or depolymerization,GO:0008283~cell proliferation,GO:0014706~striated muscle tissue development,GO:0030029~actin filament-based process,GO:0030036~actin cytoskeleton organization,GO:0030198~extracellular matrix organization,GO:0030832~regulation of actin filament length,GO:0030833~regulation of actin filament polymerization,GO:0032271~regulation of protein polymerization,GO:0032535~regulation of cellular component size,GO:0032956~regulation of actin cytoskeleton organization,GO:0032970~regulation of actin filament-based process,GO:0033043~regulation of organelle organization,GO:0043062~extracellular structure organization,GO:0043149~stress fiber formation,GO:0043254~regulation of protein complex assembly,GO:0044087~regulation of cellular component biogenesis,GO:0051017~actin filament bundle formation,GO:0051493~regulation of cytoskeleton organization,GO:0060537~muscle tissue development,GO:0060538~skeletal muscle organ development,	
34249_at	epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)	Homo sapiens		GO:0005783~endoplasmic reticulum,GO:0005829~cytosol,GO:0005844~polysome,GO:0005886~plasma membrane,GO:0030529~ribonucleoprotein complex,		GO:0004721~phosphoprotein phosphatase activity,GO:0004722~protein serine/threonine phosphatase activity,GO:0004725~protein tyrosine phosphatase activity,GO:0008138~protein tyrosine/serine/threonine phosphatase activity,GO:0016791~phosphatase activity,GO:0030246~carbohydrate binding,			alternative splicing,carbohydrate metabolism,cell membrane,complete proteome,cytoplasm,disease mutation,endoplasmic reticulum,epilepsy,glycogen metabolism,hydrolase,membrane,nucleus,polymorphism,protein phosphatase,		IPR000340:Dual specificity phosphatase, catalytic domain,IPR000387:Dual-specific/protein-tyrosine phosphatase, conserved region,IPR002044:Glycoside hydrolase, carbohydrate-binding,IPR016130:Protein-tyrosine phosphatase, active site,	chain:Laforin,domain:CBM20,domain:Tyrosine-protein phosphatase,mutagenesis site,sequence conflict,sequence variant,splice variant,	Epilepsy, myoclonic, Lafora type,	GO:0005976~polysaccharide metabolic process,GO:0005977~glycogen metabolic process,GO:0005996~monosaccharide metabolic process,GO:0006006~glucose metabolic process,GO:0006073~cellular glucan metabolic process,GO:0006091~generation of precursor metabolites and energy,GO:0006112~energy reserve metabolic process,GO:0006470~protein amino acid dephosphorylation,GO:0006793~phosphorus metabolic process,GO:0006796~phosphate metabolic process,GO:0007610~behavior,GO:0015980~energy derivation by oxidation of organic compounds,GO:0016311~dephosphorylation,GO:0019318~hexose metabolic process,GO:0044042~glucan metabolic process,GO:0044264~cellular polysaccharide metabolic process,	
1855_at	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	Homo sapiens		GO:0005576~extracellular region,GO:0005794~Golgi apparatus,		GO:0008083~growth factor activity,	SM00442:FGF,		complete proteome,disease mutation,glycoprotein,growth factor,mitogen,Proto-oncogene,signal,	hsa04010:MAPK signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa05200:Pathways in cancer,hsa05218:Melanoma,	IPR002209:Heparin-binding growth factor/Fibroblast growth factor,IPR002348:Interleukin 1/heparin-binding growth factor,	chain:INT-2 proto-oncogene protein,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,	A Genome-Wide Association Study Identifies Protein Quantitative Trait Loci (pQTLs),Deafness, congenital with inner ear agenesis, microtia, and microdontia,	GO:0001708~cell fate specification,GO:0001759~induction of an organ,GO:0002520~immune system development,GO:0007166~cell surface receptor linked signal transduction,GO:0007167~enzyme linked receptor protein signaling pathway,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007267~cell-cell signaling,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0031128~developmental induction,GO:0045165~cell fate commitment,GO:0045168~cell-cell signaling involved in cell fate specification,GO:0048534~hemopoietic or lymphoid organ development,GO:0048538~thymus development,GO:0051302~regulation of cell division,GO:0051781~positive regulation of cell division,	PIRSF001783:fibroblast growth factor,
32279_at	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)	Homo sapiens		GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0008021~synaptic vesicle,GO:0009898~internal side of plasma membrane,GO:0012505~endomembrane system,GO:0012506~vesicle membrane,GO:0016023~cytoplasmic membrane-bounded vesicle,GO:0030054~cell junction,GO:0030135~coated vesicle,GO:0030136~clathrin-coated vesicle,GO:0030424~axon,GO:0030659~cytoplasmic vesicle membrane,GO:0030662~coated vesicle membrane,GO:0030665~clathrin coated vesicle membrane,GO:0030672~synaptic vesicle membrane,GO:0031090~organelle membrane,GO:0031224~intrinsic to membrane,GO:0031225~anchored to membrane,GO:0031410~cytoplasmic vesicle,GO:0031982~vesicle,GO:0031988~membrane-bounded vesicle,GO:0042995~cell projection,GO:0043005~neuron projection,GO:0044433~cytoplasmic vesicle part,GO:0044456~synapse part,GO:0044459~plasma membrane part,GO:0045202~synapse,GO:0048471~perinuclear region of cytoplasm,		GO:0004351~glutamate decarboxylase activity,GO:0016831~carboxy-lyase activity,GO:0019842~vitamin binding,GO:0030170~pyridoxal phosphate binding,GO:0048037~cofactor binding,GO:0070279~vitamin B6 binding,		Amino acid transport and metabolism,	3d-structure,carbon-carbon lyase,carboxy-lyase,cell junction,cell membrane,complete proteome,cytoplasm,cytoplasmic vesicle,decarboxylase,golgi apparatus,lipoprotein,lyase,membrane,Neurotransmitter biosynthesis,palmitate,phosphoprotein,polymorphism,pyridoxal phosphate,synapse,	hsa00250:Alanine, aspartate and glutamate metabolism,hsa00410:beta-Alanine metabolism,hsa00430:Taurine and hypotaurine metabolism,hsa00650:Butanoate metabolism,hsa04940:Type I diabetes mellitus,	IPR002129:Pyridoxal phosphate-dependent decarboxylase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,	binding site:Substrate,chain:Glutamate decarboxylase 2,helix,lipid moiety-binding region:S-palmitoyl cysteine,modified residue,region of interest:Substrate binding,sequence variant,strand,turn,		GO:0001505~regulation of neurotransmitter levels,GO:0006105~succinate metabolic process,GO:0006536~glutamate metabolic process,GO:0006538~glutamate catabolic process,GO:0006540~glutamate decarboxylation to succinate,GO:0007267~cell-cell signaling,GO:0007268~synaptic transmission,GO:0009063~cellular amino acid catabolic process,GO:0009064~glutamine family amino acid metabolic process,GO:0009065~glutamine family amino acid catabolic process,GO:0009310~amine catabolic process,GO:0016054~organic acid catabolic process,GO:0019226~transmission of nerve impulse,GO:0042133~neurotransmitter metabolic process,GO:0042136~neurotransmitter biosynthetic process,GO:0043648~dicarboxylic acid metabolic process,GO:0046395~carboxylic acid catabolic process,GO:0050877~neurological system process,	PIRSF001333:glutamate decarboxylase,
38236_at	glutamate receptor, ionotropic, N-methyl D-aspartate 2A	Homo sapiens		GO:0000267~cell fraction,GO:0005624~membrane fraction,GO:0005626~insoluble fraction,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0005887~integral to plasma membrane,GO:0008328~ionotropic glutamate receptor complex,GO:0014069~postsynaptic density,GO:0016021~integral to membrane,GO:0017146~N-methyl-D-aspartate selective glutamate receptor complex,GO:0019717~synaptosome,GO:0030054~cell junction,GO:0031224~intrinsic to membrane,GO:0031226~intrinsic to plasma membrane,GO:0042734~presynaptic membrane,GO:0042995~cell projection,GO:0043005~neuron projection,GO:0043228~non-membrane-bounded organelle,GO:0043232~intracellular non-membrane-bounded organelle,GO:0043235~receptor complex,GO:0044430~cytoskeletal part,GO:0044456~synapse part,GO:0044459~plasma membrane part,GO:0045202~synapse,GO:0045211~postsynaptic membrane,		GO:0000287~magnesium ion binding,GO:0004970~ionotropic glutamate receptor activity,GO:0005216~ion channel activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0005234~extracellular-glutamate-gated ion channel activity,GO:0005244~voltage-gated ion channel activity,GO:0005261~cation channel activity,GO:0005262~calcium channel activity,GO:0005509~calcium ion binding,GO:0008066~glutamate receptor activity,GO:0015267~channel activity,GO:0015276~ligand-gated ion channel activity,GO:0016595~glutamate binding,GO:0016597~amino acid binding,GO:0022803~passive transmembrane transporter activity,GO:0022832~voltage-gated channel activity,GO:0022834~ligand-gated channel activity,GO:0022836~gated channel activity,GO:0022838~substrate specific channel activity,GO:0022843~voltage-gated cation channel activity,GO:0031406~carboxylic acid binding,GO:0042165~neurotransmitter binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0043176~amine binding,GO:0046872~metal ion binding,GO:0046873~metal ion transmembrane transporter activity,GO:0050839~cell adhesion molecule binding,	SM00079:PBPe,		calcium,cell junction,cell membrane,complete proteome,glycoprotein,ion transport,ionic channel,magnesium,membrane,phosphoprotein,polymorphism,postsynaptic cell membrane,receptor,signal,synapse,transmembrane,transport,	hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04720:Long-term potentiation,hsa05010:Alzheimer's disease,hsa05014:Amyotrophic lateral sclerosis (ALS),hsa05322:Systemic lupus erythematosus,	IPR001320:Ionotropic glutamate receptor,IPR001508:NMDA receptor,IPR001828:Extracellular ligand-binding receptor,IPR015683:Glutamate receptor-related,IPR018884:Glutamate [NMDA] receptor, epsilon subunit, C-terminal,IPR019594:Glutamate receptor, L-glutamate/glycine-binding,	binding site:Glutamate,binding site:Glutamate; via amide nitrogen,chain:Glutamate [NMDA] receptor subunit epsilon-1,glycosylation site:N-linked (GlcNAc...),modified residue,region of interest:Glutamate binding,sequence variant,short sequence motif:PDZ-binding,signal peptide,site:Functional determinant of NMDA receptors,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,		GO:0001508~regulation of action potential,GO:0001964~startle response,GO:0001975~response to amphetamine,GO:0006575~cellular amino acid derivative metabolic process,GO:0006576~biogenic amine metabolic process,GO:0006584~catecholamine metabolic process,GO:0006586~indolalkylamine metabolic process,GO:0006811~ion transport,GO:0006812~cation transport,GO:0006816~calcium ion transport,GO:0006873~cellular ion homeostasis,GO:0007166~cell surface receptor linked signal transduction,GO:0007215~glutamate signaling pathway,GO:0007267~cell-cell signaling,GO:0007268~synaptic transmission,GO:0007600~sensory perception,GO:0007610~behavior,GO:0007611~learning or memory,GO:0007612~learning,GO:0007613~memory,GO:0007632~visual behavior,GO:0008104~protein localization,GO:0008542~visual learning,GO:0009314~response to radiation,GO:0009416~response to light stimulus,GO:0009611~response to wounding,GO:0009628~response to abiotic stimulus,GO:0009712~catechol metabolic process,GO:0009719~response to endogenous stimulus,GO:0009894~regulation of catabolic process,GO:0009895~negative regulation of catabolic process,GO:0010033~response to organic substance,GO:0010243~response to organic nitrogen,GO:0010605~negative regulation of macromolecule metabolic process,GO:0010941~regulation of cell death,GO:0010942~positive regulation of cell death,GO:0014075~response to amine stimulus,GO:0015674~di-, tri-valent inorganic cation transport,GO:0018958~phenol metabolic process,GO:0019226~transmission of nerve impulse,GO:0019233~sensory perception of pain,GO:0019725~cellular homeostasis,GO:0030001~metal ion transport,GO:0030431~sleep,GO:0031644~regulation of neurological system process,GO:0033058~directional locomotion,GO:0034311~diol metabolic process,GO:0035235~ionotropic glutamate receptor signaling pathway,GO:0042176~regulation of protein catabolic process,GO:0042177~negative regulation of protein catabolic process,GO:0042391~regulation of membrane potential,GO:0042417~dopamine metabolic process,GO:0042428~serotonin metabolic process,GO:0042430~indole and derivative metabolic process,GO:0042434~indole derivative metabolic process,GO:0042493~response to drug,GO:0042592~homeostatic process,GO:0042981~regulation of apoptosis,GO:0043065~positive regulation of apoptosis,GO:0043067~regulation of programmed cell death,GO:0043068~positive regulation of programmed cell death,GO:0044057~regulation of system process,GO:0045471~response to ethanol,GO:0048167~regulation of synaptic plasticity,GO:0048168~regulation of neuronal synaptic plasticity,GO:0048169~regulation of long-term neuronal synaptic plasticity,GO:0048511~rhythmic process,GO:0048878~chemical homeostasis,GO:0050801~ion homeostasis,GO:0050804~regulation of synaptic transmission,GO:0050877~neurological system process,GO:0050890~cognition,GO:0050905~neuromuscular process,GO:0051248~negative regulation of protein metabolic process,GO:0051899~membrane depolarization,GO:0051930~regulation of sensory perception of pain,GO:0051931~regulation of sensory perception,GO:0051969~regulation of transmission of nerve impulse,GO:0055082~cellular chemical homeostasis,GO:0060078~regulation of postsynaptic membrane potential,GO:0060079~regulation of excitatory postsynaptic membrane potential,	PIRSF002440:N-methyl-D-aspartate receptor 2A,
36479_at	growth arrest-specific 8	Homo sapiens		GO:0005794~Golgi apparatus,GO:0005815~microtubule organizing center,GO:0005856~cytoskeleton,GO:0005874~microtubule,GO:0005929~cilium,GO:0005932~microtubule basal body,GO:0009434~microtubule-based flagellum,GO:0015630~microtubule cytoskeleton,GO:0019861~flagellum,GO:0042995~cell projection,GO:0043228~non-membrane-bounded organelle,GO:0043232~intracellular non-membrane-bounded organelle,GO:0044430~cytoskeletal part,GO:0044463~cell projection part,					cell projection,cilium,coiled coil,complete proteome,cytoplasm,cytoskeleton,flagellum,golgi apparatus,microtubule,polymorphism,			chain:Growth arrest-specific protein 8,region of interest:Microtubule-binding,region of interest:Regulates microtubule-binding,sequence variant,		GO:0006928~cell motion,GO:0008285~negative regulation of cell proliferation,GO:0030317~sperm motility,GO:0042127~regulation of cell proliferation,GO:0048870~cell motility,GO:0051674~localization of cell,	
1890_at	growth differentiation factor 15	Homo sapiens		GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0044421~extracellular region part,		GO:0005125~cytokine activity,GO:0008083~growth factor activity,	SM00204:TGFB,		cleavage on pair of basic residues,complete proteome,cytokine,disulfide bond,glycoprotein,growth factor,polymorphism,Secreted,signal,		IPR001839:Transforming growth factor beta,IPR017948:Transforming growth factor beta, conserved site,	chain:Growth/differentiation factor 15,disulfide bond,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,		GO:0007166~cell surface receptor linked signal transduction,GO:0007167~enzyme linked receptor protein signaling pathway,GO:0007178~transmembrane receptor protein serine/threonine kinase signaling pathway,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007267~cell-cell signaling,	
919_at	guanine nucleotide binding protein (G protein) alpha 12	Homo sapiens		GO:0005886~plasma membrane,GO:0005903~brush border,GO:0031224~intrinsic to membrane,GO:0031225~anchored to membrane,GO:0042995~cell projection,	h_akap13Pathway:Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation,	GO:0000166~nucleotide binding,GO:0003924~GTPase activity,GO:0005525~GTP binding,GO:0017076~purine nucleotide binding,GO:0019001~guanyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032561~guanyl ribonucleotide binding,GO:0050780~dopamine receptor binding,			complete proteome,gtp-binding,lipoprotein,membrane,nucleotide-binding,palmitate,phosphoprotein,polymorphism,transducer,	hsa04010:MAPK signaling pathway,hsa04270:Vascular smooth muscle contraction,hsa04730:Long-term depression,hsa04810:Regulation of actin cytoskeleton,	IPR000469:G-protein alpha subunit, group 12,IPR001019:Guanine nucleotide binding protein (G-protein), alpha subunit,	chain:Guanine nucleotide-binding protein subunit alpha-12,lipid moiety-binding region:S-palmitoyl cysteine,modified residue,nucleotide phosphate-binding region:GTP,sequence conflict,sequence variant,	Many sequence variants affecting diversity of adult human height,	GO:0001701~in utero embryonic development,GO:0007166~cell surface receptor linked signal transduction,GO:0007186~G-protein coupled receptor protein signaling pathway,GO:0007242~intracellular signaling cascade,GO:0007243~protein kinase cascade,GO:0007264~small GTPase mediated signal transduction,GO:0007265~Ras protein signal transduction,GO:0007266~Rho protein signal transduction,GO:0007596~blood coagulation,GO:0007599~hemostasis,GO:0008360~regulation of cell shape,GO:0009611~response to wounding,GO:0009792~embryonic development ending in birth or egg hatching,GO:0022604~regulation of cell morphogenesis,GO:0030326~embryonic limb morphogenesis,GO:0035107~appendage morphogenesis,GO:0035108~limb morphogenesis,GO:0035113~embryonic appendage morphogenesis,GO:0042060~wound healing,GO:0042733~embryonic digit morphogenesis,GO:0043009~chordate embryonic development,GO:0048598~embryonic morphogenesis,GO:0048736~appendage development,GO:0050817~coagulation,GO:0050878~regulation of body fluid levels,GO:0060173~limb development,	PIRSF002400:GTP-binding regulatory protein Gs alpha chain,
37905_r_at	guanine nucleotide binding protein-like 1	Homo sapiens		GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0044421~extracellular region part,		GO:0000166~nucleotide binding,GO:0005198~structural molecule activity,GO:0005525~GTP binding,GO:0017076~purine nucleotide binding,GO:0019001~guanyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032561~guanyl ribonucleotide binding,		General function prediction only,	alternative splicing,complete proteome,GTP binding,gtp-binding,nucleotide binding,nucleotide-binding,P-loop,phosphoprotein,		IPR002917:GTP-binding protein, HSR1-related,	chain:Guanine nucleotide-binding protein-like 1,compositionally biased region:Asp/Glu-rich (highly acidic),modified residue,nucleotide phosphate-binding region:GTP,sequence conflict,splice variant,		GO:0002250~adaptive immune response,GO:0002252~immune effector process,GO:0002443~leukocyte mediated immunity,GO:0002449~lymphocyte mediated immunity,GO:0002456~T cell mediated immunity,GO:0002460~adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:0006955~immune response,GO:0006974~response to DNA damage stimulus,GO:0033554~cellular response to stress,	
31525_s_at	hemoglobin, alpha 2; hemoglobin, alpha 1	Homo sapiens		GO:0005829~cytosol,GO:0005833~hemoglobin complex,GO:0005840~ribosome,GO:0015935~small ribosomal subunit,GO:0022626~cytosolic ribosome,GO:0022627~cytosolic small ribosomal subunit,GO:0030529~ribonucleoprotein complex,GO:0033279~ribosomal subunit,GO:0043228~non-membrane-bounded organelle,GO:0043232~intracellular non-membrane-bounded organelle,GO:0044445~cytosolic part,		GO:0005344~oxygen transporter activity,GO:0005506~iron ion binding,GO:0019825~oxygen binding,GO:0020037~heme binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046906~tetrapyrrole binding,GO:0046914~transition metal ion binding,			3d-structure,acetylation,blood,chromoprotein,complete proteome,direct protein sequencing,disease mutation,erythrocyte,glycation,glycoprotein,heme,heterotetramer,iron,metal-binding,metalloprotein,opioid peptide,oxygen carrier,oxygen transport,phosphoprotein,polymorphism,transport,		IPR000971:Globin, subset,IPR002338:Haemoglobin, alpha,IPR002339:Haemoglobin, pi,IPR012292:Globin,IPR018331:Haemoglobin alpha chain,	chain:Hemoglobin subunit alpha,glycosylation site:N-linked (Glc) (glycation),helix,metal ion-binding site:Iron (heme distal ligand),metal ion-binding site:Iron (heme proximal ligand),modified residue,sequence conflict,sequence variant,site:Not glycated,turn,	Erythremias, alpha-,Erythrocytosis,Heinz body anemia,Heinz body anemias, alpha-,Hemoglobin H disease,Hypochromic microcytic anemia,Methemoglobinemias, alpha-,Thalassemia, alpha-,Thalassemias, alpha-,	GO:0015669~gas transport,GO:0015671~oxygen transport,	PIRSF036518:globin,PIRSF500045:hemoglobin, vertebrate type,
31687_f_at	hemoglobin, beta	Homo sapiens		GO:0005829~cytosol,GO:0005833~hemoglobin complex,GO:0044445~cytosolic part,	h_ahspPathway:Hemoglobin's Chaperone,	GO:0005344~oxygen transporter activity,GO:0005506~iron ion binding,GO:0019825~oxygen binding,GO:0020037~heme binding,GO:0030492~hemoglobin binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046906~tetrapyrrole binding,GO:0046914~transition metal ion binding,			3d-structure,acetylation,blocked amino end,blood,chromoprotein,complete proteome,congenital dyserythropoietic anemia,direct protein sequencing,disease mutation,erythrocyte,glycation,glycoprotein,heme,hereditary hemolytic anemia,heterotetramer,homotetramer,hypotensive agent,iron,metal-binding,metalloprotein,opioid peptide,oxygen carrier,oxygen transport,phosphoprotein,polymorphism,pyruvate,s-nitrosylation,transport,vasoactive,		IPR000971:Globin, subset,IPR002337:Haemoglobin, beta,IPR012292:Globin,	binding site:2,3-bisphosphoglycerate,binding site:2,3-bisphosphoglycerate; via amino nitrogen,chain:Hemoglobin subunit beta,glycosylation site:N-linked (Glc) (glycation),glycosylation site:N-linked (Glc) (glycation); in Hb A1c,helix,metal ion-binding site:Iron (heme distal ligand),metal ion-binding site:Iron (heme proximal ligand),modified residue,peptide:LVV-hemorphin-7,sequence conflict,sequence variant,site:Aspirin-acetylated lysine,site:Not glycated,site:Susceptible to oxidation; associated with variant Atlanta, variant non-spherocytic haemolytic anemia and variant Christchurch,turn,	A QTL influencing F cell production maps to a gene encoding a zinc-finger protein on chromosome 2p15,Erythremias, beta-,Genome-wide association study shows BCL11A associated with persistent fetal hemoglobin and amelioration of the phenotype of beta-thalassemia,Heinz body anemias, beta-,Hereditary persistence of fetal hemoglobin,HPFH, deletion type,Methemoglobinemias, beta-,Sickle cell anemia,Thalassemia-beta, dominant inclusion-body,Thalassemias, beta-,	GO:0003013~circulatory system process,GO:0003018~vascular process in circulatory system,GO:0008015~blood circulation,GO:0008217~regulation of blood pressure,GO:0009891~positive regulation of biosynthetic process,GO:0015669~gas transport,GO:0015671~oxygen transport,GO:0030185~nitric oxide transport,GO:0031328~positive regulation of cellular biosynthetic process,GO:0035150~regulation of tube size,GO:0045428~regulation of nitric oxide biosynthetic process,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0050880~regulation of blood vessel size,GO:0051173~positive regulation of nitrogen compound metabolic process,	PIRSF036518:globin,PIRSF500045:hemoglobin, vertebrate type,
33516_at	hemoglobin, delta	Homo sapiens		GO:0005829~cytosol,GO:0005833~hemoglobin complex,GO:0044445~cytosolic part,		GO:0005344~oxygen transporter activity,GO:0005506~iron ion binding,GO:0019825~oxygen binding,GO:0020037~heme binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046906~tetrapyrrole binding,GO:0046914~transition metal ion binding,			3d-structure,acetylation,blood,chromoprotein,complete proteome,direct protein sequencing,erythrocyte,heme,heterotetramer,iron,metal-binding,metalloprotein,oxygen carrier,oxygen transport,phosphoprotein,polymorphism,transport,		IPR000971:Globin, subset,IPR002337:Haemoglobin, beta,IPR012292:Globin,	chain:Hemoglobin subunit delta,helix,metal ion-binding site:Iron (heme distal ligand),metal ion-binding site:Iron (heme proximal ligand),modified residue,sequence variant,turn,	Thalassemia due to Hb Lepore,Thalassemia, delta-,	GO:0015669~gas transport,GO:0015671~oxygen transport,	PIRSF036518:globin,PIRSF500045:hemoglobin, vertebrate type,
40735_at	histidine ammonia-lyase	Homo sapiens		GO:0000267~cell fraction,GO:0005625~soluble fraction,GO:0005829~cytosol,		GO:0004397~histidine ammonia-lyase activity,GO:0016211~ammonia ligase activity,GO:0016840~carbon-nitrogen lyase activity,GO:0016841~ammonia-lyase activity,GO:0016879~ligase activity, forming carbon-nitrogen bonds,GO:0016880~acid-ammonia (or amide) ligase activity,			ammonia-lyase,carbon-nitrogen lyase,complete proteome,cytoplasm,disease mutation,histidine catabolism,histidine metabolism,lyase,Phenylpropanoid metabolism,phosphoprotein,polymorphism,	hsa00340:Histidine metabolism,hsa00910:Nitrogen metabolism,	IPR001106:Phenylalanine/histidine ammonia-lyase,IPR005921:Histidine ammonia-lyase,	chain:Histidine ammonia-lyase,cross-link:5-imidazolinone (Ala-Gly),modified residue,sequence variant,	Histidinemia,	GO:0006547~histidine metabolic process,GO:0006548~histidine catabolic process,GO:0009063~cellular amino acid catabolic process,GO:0009075~histidine family amino acid metabolic process,GO:0009077~histidine family amino acid catabolic process,GO:0009310~amine catabolic process,GO:0016054~organic acid catabolic process,GO:0046395~carboxylic acid catabolic process,GO:0046700~heterocycle catabolic process,	
35566_f_at	immunoglobulin heavy constant gamma 1 (G1m marker); immunoglobulin heavy constant mu; immunoglobulin heavy variable 3-7; immunoglobulin heavy constant gamma 3 (G3m marker); immunoglobulin heavy variable 3-11 (gene/pseudogene); immunoglobulin heavy variable 4-31; immunoglobulin heavy locus	Homo sapiens	78.B_Cell_Development,79.B_cell_Activation,	GO:0000267~cell fraction,GO:0005576~extracellular region,GO:0005624~membrane fraction,GO:0005626~insoluble fraction,GO:0005886~plasma membrane,GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,		GO:0003823~antigen binding,	SM00406:IGv,SM00407:IGc1,		3d-structure,alternative splicing,cell membrane,chromosomal rearrangement,complete proteome,direct protein sequencing,disulfide bond,duplication,glycoprotein,heterotetramer,immunoglobulin,immunoglobulin c region,Immunoglobulin domain,membrane,membrane protein,polymorphism,pyroglutamic acid,Pyrrolidone carboxylic acid,receptor,repeat,Secreted,signal,transmembrane,		IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003596:Immunoglobulin V-set, subgroup,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like,IPR013106:Immunoglobulin V-set,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,IPR018062:Helix-turn-helix, AraC type, subdomain 2,	chain:anti-RhD monoclonal T125 gamma1 heavy chain,chain:Ig gamma-1 chain C region,chain:Ig gamma-3 chain C region,chain:Ig mu chain C region,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,region of interest:CH1,region of interest:CH2,region of interest:CH3,region of interest:CH4,region of interest:Hinge,sequence conflict,sequence variant,signal peptide,splice variant,strand,turn,	Agammaglobulinemia,	GO:0006955~immune response,	
35915_at	inhibin, beta C	Homo sapiens		GO:0005576~extracellular region,		GO:0005160~transforming growth factor beta receptor binding,GO:0005179~hormone activity,GO:0008083~growth factor activity,	SM00204:TGFB,		cleavage on pair of basic residues,complete proteome,disulfide bond,glycoprotein,growth factor,hormone,polymorphism,Secreted,signal,	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,	IPR001318:Inhibin, beta C subunit,IPR001839:Transforming growth factor beta,IPR015615:Transforming growth factor-beta-related,IPR017948:Transforming growth factor beta, conserved site,	chain:Inhibin beta C chain,disulfide bond,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,			PIRSF037268:activin/inhibin, beta subunit,PIRSF500818:activin/inhibin, beta C subunit,PIRSF800009:TGF-beta-like cysteine-knot cytokine,
